date,year,return,value,n_features
2020-02-24,2020,-0.0761988247408171,231015.5906365484,6
2020-03-02,2020,-0.08574269072489456,211207.69229597,6
2020-03-09,2020,-0.09715306424091204,190688.2177981648,6
2020-03-16,2020,-0.07260502518963036,176843.29494156333,6
2020-03-23,2020,0.1442000525825432,202344.10737100698,6
2020-03-30,2020,-0.12406997582726484,177239.27886069665,11
2020-04-06,2020,0.23252781327751765,218452.3408010586,11
2020-04-13,2020,0.0005590085383814336,218574.4575247958,11
2020-04-20,2020,0.0023582042316857123,219089.9007354692,11
2020-04-27,2020,0.062378537406701184,232756.4083039271,12
2020-05-04,2020,0.02644754366247263,238912.24357526554,12
2020-05-11,2020,-0.07314755531967522,221436.3970217961,12
2020-05-18,2020,0.04465214778699185,231324.00774703233,12
2020-06-01,2020,0.26566893867889046,292779.6113761338,15
2020-06-08,2020,-0.06802267860965185,272863.9579680363,15
2020-06-15,2020,-0.049783271294304564,259279.89752207583,15
2020-06-22,2020,-0.10966607591801021,230845.68859640593,15
2020-06-29,2020,-0.0061900288766130514,229416.74711795256,13
2020-07-06,2020,-0.04791850991006226,218423.43844764668,13
2020-07-13,2020,0.03353593272066028,225748.47218404227,13
2020-07-20,2020,0.023178970911588194,230981.08945413167,13
2020-07-27,2020,0.006540548642536448,232491.8325052125,14
2020-08-03,2020,0.06602185527778677,247841.37462413905,14
2020-08-10,2020,0.008445568413232563,249934.5359091568,14
2020-08-17,2020,-0.03341002302609365,241584.21730941586,14
2020-08-24,2020,0.02079937096710819,246609.01706503288,13
2020-08-31,2020,-0.08340431086116834,226040.7619445737,13
2020-09-14,2020,-0.0038935022865322355,225160.671721093,13
2020-09-21,2020,0.012708497912184692,228022.12564756663,13
2020-09-28,2020,-0.02629053078000093,222027.30293470802,12
2020-10-05,2020,0.035147752827988085,229831.06369932194,12
2020-10-12,2020,-0.058987730340685905,216273.85088991333,12
2020-10-19,2020,0.042700402318929895,225508.83133397688,12
2020-10-26,2020,-0.024464273784743217,219991.92154334497,14
2020-11-02,2020,0.08165867815583103,237956.1710615358,14
2020-11-09,2020,0.017537413255403745,242129.3067701155,14
2020-11-16,2020,0.027989151063895667,248906.30051430062,14
2020-11-23,2020,0.013936593160008549,252375.20635953126,15
2020-11-30,2020,0.04277597114186332,263170.8009036884,15
2020-12-07,2020,-0.009316915149043503,260718.86088196293,15
2020-12-14,2020,-0.007760390761131541,258695.5806427218,15
2020-12-21,2020,-0.0021248038076792874,258145.90328794232,11
2020-12-28,2020,-0.0040930906305103095,257089.2887098898,11
2021-01-04,2021,0.052391960349028086,270558.7005301382,11
2021-01-11,2021,0.02631975611346935,277679.7395424686,11
2021-01-25,2021,-0.05154092828185751,263367.86800138536,13
2021-02-01,2021,0.08691319516538555,286258.0109132813,13
2021-02-08,2021,0.041558209562533976,298154.3813197696,13
2021-02-22,2021,-0.023522028236775648,291141.1855434476,13
2021-03-01,2021,0.008869376853447209,293723.4264355918,14
