date,portfolio_value,cash,positions,trades,returns
2025-09-01,13698.637948989868,225.73724174499512,23,0,0.0
2025-09-02,13555.013851165771,225.73724174499512,23,0,-0.010484553162067312
2025-09-03,13530.461478233337,225.73724174499512,23,0,-0.001811313009490001
2025-09-04,13607.742007255554,225.73724174499512,23,0,0.005711595953067805
2025-09-05,13698.900596618652,225.73724174499512,23,0,0.006699023931706849
2025-09-08,13768.837413787842,225.73724174499512,23,0,0.005105286856848412
2025-09-09,13720.288595199585,225.73724174499512,23,0,-0.0035259925823251104
2025-09-10,13743.955039024353,225.73724174499512,23,0,0.0017249231793161623
2025-09-11,14047.818272590637,1077.7372875213623,22,1,0.02210886405721646
2025-09-12,13913.06248664856,1077.7372875213623,22,0,-0.009592648717915542
2025-09-15,13964.097430229187,1077.7372875213623,22,0,0.003668131558353993
2025-09-16,13919.424569129944,1077.7372875213623,22,0,-0.0031991227018035584
2025-09-17,13878.887753486633,1077.7372875213623,22,0,-0.0029122479483247865
2025-09-18,14094.875259399414,1077.7372875213623,22,0,0.015562306558644767
2025-09-19,14081.503992080688,1077.7372875213623,22,0,-0.0009486616286162874
2025-09-22,14011.69010257721,1077.7372875213623,22,0,-0.004957843249040805
2025-09-23,14006.556105613708,1077.7372875213623,22,0,-0.0003664081153604837
2025-09-24,13892.336483955383,1077.7372875213623,22,0,-0.008154725601145274
2025-09-25,13788.19861125946,1077.7372875213623,22,0,-0.007496066109267785
2025-09-26,13952.788919448853,1077.7372875213623,22,0,0.011937042164085643
2025-09-29,13940.461054801941,1077.7372875213623,22,0,-0.0008835412560228573
2025-09-30,13938.028929710388,1077.7372875213623,22,0,-0.00017446518318098292
2025-10-01,14192.671113014221,1077.7372875213623,22,0,0.018269597845433916
2025-10-02,14156.400015830994,1077.7372875213623,22,0,-0.0025556216229070117
2025-10-03,14187.77937412262,381.13727378845215,23,1,0.0022166199214868065
2025-10-06,14022.748823165894,381.13727378845215,23,0,-0.011631880268573203
2025-10-07,13991.042781829834,1012.9872493743896,22,1,-0.002261043233098503
2025-10-08,14066.372465133667,1012.9872493743896,22,0,0.005384136442043053
2025-10-09,14015.134364128113,1012.9872493743896,22,0,-0.0036425952129846006
2025-10-10,13542.082021713257,1012.9872493743896,22,0,-0.03375296519636928
2025-10-13,13873.409552574158,1012.9872493743896,22,0,0.024466513371404375
2025-10-14,13983.055634498596,1012.9872493743896,22,0,0.007903326252204135
2025-10-15,14081.24141407013,1012.9872493743896,22,0,0.007021768498817416
2025-10-16,14006.723001480103,1012.9872493743896,22,0,-0.005292034302853965
2025-10-17,14021.389576911926,1012.9872493743896,22,0,0.0010471096937001434
2025-10-20,14207.188343048096,1521.8272457122803,21,1,0.013251095058517626
2025-10-21,14237.44798374176,1521.8272457122803,21,0,0.0021298824202939937
2025-10-22,14210.484705924988,1521.8272457122803,21,0,-0.0018938280124052298
2025-10-23,14297.325254440308,1521.8272457122803,21,0,0.006111019455874889
2025-10-24,14422.667647361755,1521.8272457122803,21,0,0.008766842097442051
2025-10-27,14368.870956420898,1521.8272457122803,21,0,-0.0037300097496663076
2025-10-28,14182.836912155151,1521.8272457122803,21,0,-0.012947018929320597
2025-10-29,14118.20595741272,1521.8272457122803,21,0,-0.004556983567021167
2025-10-30,13965.900489807129,149.30202293395996,23,2,-0.010787876877913272
2025-10-31,13973.086012840271,498.6220302581787,22,1,0.0005145048139492125
2025-11-03,13855.22049999237,13.949178695678711,23,1,-0.008435181229085043
2025-11-04,13668.45077419281,13.949178695678711,23,0,-0.013480097685898529
2025-11-05,13786.176629066467,13.949178695678711,23,0,0.00861296256748667
2025-11-06,13653.102431297302,13.949178695678711,23,0,-0.009652726883579432
2025-11-07,13741.015742301941,13.949178695678711,23,0,0.006439072104455379
2025-11-10,13782.774258613586,13.949178695678711,23,0,0.003038968668312547
2025-11-11,13878.480392456055,13.949178695678711,23,0,0.0069438947520059635
2025-11-12,14037.55799293518,102.1591625213623,23,2,0.011462177124636597
2025-11-13,13824.849411010742,102.1591625213623,23,0,-0.015152819459872569
2025-11-14,13802.020219802856,102.1591625213623,23,0,-0.0016513157235336084
2025-11-17,13626.515396118164,102.1591625213623,23,0,-0.012715879334307956
2025-11-18,13629.225047111511,102.1591625213623,23,0,0.00019885135080977
2025-11-19,13693.631521224976,102.1591625213623,23,0,0.004725615278259321
2025-11-20,13445.53071975708,102.1591625213623,23,0,-0.018117969735299333
2025-11-21,13777.80019569397,102.1591625213623,23,0,0.024712261855803774
2025-11-24,13890.487780570984,102.1591625213623,23,0,0.008178924304057755
2025-11-25,14255.109347343445,102.1591625213623,23,0,0.026249730933312954
2025-11-26,14329.925287246704,102.1591625213623,23,0,0.005248359593762242
2025-11-27,14329.925287246704,102.1591625213623,23,0,0.0
2025-11-28,14431.965281486511,102.1591625213623,23,0,0.007120762473941111
2025-12-01,14321.49588394165,102.1591625213623,23,0,-0.007654494408088186
2025-12-02,14327.254754066467,102.1591625213623,23,0,0.00040211372970300197
2025-12-03,14468.7668466568,102.1591625213623,23,0,0.009877125452115498
2025-12-04,14389.115571975708,102.1591625213623,23,0,-0.00550504929170903
2025-12-05,14449.339275360107,102.1591625213623,23,0,0.004185365186842427
2025-12-08,14400.099135398865,102.1591625213623,23,0,-0.003407777962914138
2025-12-09,14413.579243659973,102.1591625213623,23,0,0.0009361121846704901
2025-12-10,14678.02927494049,102.1591625213623,23,0,0.018347283961188232
2025-12-11,14842.222661972046,102.1591625213623,23,0,0.011186337345155728
