date,ticker,action,price,shares,amount,cash_balance,total_value,strategy,pnl
2025-10-30,KVUE,SELL,14.062850952148438,72,1012.0190059204102,6902.3882745332785,10105.090430108077,new_ml,-5.483618591308527
2025-10-30,TTD,BUY,48.970001220703125,20,979.8897244262695,5922.498550107009,10105.090430108077,new_ml,0.0
2025-10-30,TER,BUY,176.74644470214844,5,884.1740896224975,5038.324460484511,10105.090430108077,new_ml,0.0
2025-10-30,CPAY,BUY,255.0,3,765.3824999999999,4272.941960484512,10105.090430108077,new_ml,0.0
2025-10-30,MRNA,BUY,28.139999389648438,35,985.392428627014,3287.5495318574976,10105.090430108077,new_ml,0.0
2025-10-30,BAX,BUY,19.14986801147461,52,996.291033164978,2291.2584986925194,10105.090430108077,new_ml,0.0
2025-10-30,WBD,BUY,21.6200008392334,46,995.0172986240386,1296.2412000684808,10105.090430108077,new_ml,0.0
2025-10-31,TER,SELL,181.62274169921875,5,907.6596516418457,2203.9008517103266,10176.474297144898,new_ml,23.92742813110351
2025-10-31,CPAY,SELL,260.3500061035156,3,780.6594933013916,2984.5603450117183,10176.474297144898,new_ml,15.659493301391649
2025-10-31,BAX,SELL,18.46023178100586,52,959.4520865859986,3944.012431597717,10176.474297144898,new_ml,-36.3410500106811
2025-10-31,WBD,SELL,22.450000762939453,46,1032.1836850776674,4976.1961166753845,10176.474297144898,new_ml,37.66364647293108
2025-10-31,IT,BUY,248.33999633789062,4,993.8566653442382,3982.3394513311464,10176.474297144898,new_ml,0.0
2025-10-31,PSKY,BUY,15.390000343322754,66,1016.2478926706314,2966.091558660515,10176.474297144898,new_ml,0.0
2025-10-31,DOW,BUY,23.500877380371094,43,1011.0429962196349,1955.0485624408802,10176.474297144898,new_ml,0.0
2025-10-31,KVUE,BUY,14.191234588623047,71,1008.0814446201324,946.9671178207478,10176.474297144898,new_ml,0.0
2025-11-03,IT,SELL,245.9199981689453,4,983.1881526794434,1930.1552705001914,10141.945559059151,new_ml,-10.17183267211908
2025-11-03,DOW,SELL,22.88995361328125,43,983.7758713684083,2913.9311418685998,10141.945559059151,new_ml,-26.761855987548756
2025-11-03,PLTR,BUY,207.17999267578125,4,829.1343306884766,2084.7968111801233,10141.945559059151,new_ml,0.0
2025-11-03,ERIE,BUY,285.3500061035156,3,856.4780433197021,1228.3187678604213,10141.945559059151,new_ml,0.0
2025-11-04,DECK,SELL,79.54000091552734,10,795.0023091506959,2023.3210770111173,9879.805113151559,new_ml,-230.3977000045776
2025-11-04,KVUE,SELL,15.771329879760742,71,1119.2045392522812,3142.5256162633987,9879.805113151559,new_ml,111.62688346004484
2025-11-04,PLTR,SELL,190.74000549316406,4,762.57854196167,3905.1041582250687,9879.805113151559,new_ml,-66.141428741455
2025-11-04,ERIE,SELL,289.4200134277344,3,867.8259102630616,4772.93006848813,9879.805113151559,new_ml,11.775891952514712
2025-11-04,COIN,BUY,307.32000732421875,3,922.4210019836426,3850.5090665044872,9879.805113151559,new_ml,0.0
2025-11-04,ALB,BUY,88.44999694824219,11,973.4364414138794,2877.0726250906077,9879.805113151559,new_ml,0.0
2025-11-04,DOW,BUY,22.259323120117188,44,979.8999223937988,1897.172702696809,9879.805113151559,new_ml,0.0
2025-11-04,BAX,BUY,17.930513381958008,55,986.6713251256942,910.5013775711147,9879.805113151559,new_ml,0.0
2025-11-05,COIN,SELL,319.29998779296875,3,957.4210133972168,1867.9223909683315,9966.095505226143,new_ml,35.460991424560575
2025-11-05,ALB,SELL,91.95999908447266,11,1011.0542099342347,2878.976600902566,9966.095505226143,new_ml,38.104243503570615
2025-11-05,DOW,SELL,22.436687469482422,44,986.720641532898,3865.697242435464,9966.095505226143,new_ml,7.310424247741707
