date,value,cash,positions
2024-12-23,11734.638452529907,2581.981119155884,18
2024-12-24,11815.206460952759,2581.981119155884,18
2024-12-26,11821.953073501587,2581.981119155884,18
2024-12-27,11728.057405471802,2581.981119155884,18
2024-12-30,11633.994859695435,2581.981119155884,18
2024-12-31,11588.739091873169,2581.981119155884,18
2025-01-02,11607.979944229126,4111.0352420806885,16
2025-01-03,11742.673212051392,4111.0352420806885,16
2025-01-06,11816.24387550354,4111.0352420806885,16
2025-01-07,11686.21166419983,4111.0352420806885,16
2025-01-08,11719.422021865845,4111.0352420806885,16
2025-01-10,11601.094034194946,4111.0352420806885,16
2025-01-13,11543.952699661255,4111.0352420806885,16
2025-01-14,11588.336458206177,4111.0352420806885,16
2025-01-15,11714.084436416626,4111.0352420806885,16
2025-01-16,11791.23712348938,4111.0352420806885,16
2025-01-17,11893.325716018677,4111.0352420806885,16
2025-01-21,11950.951906204224,4111.0352420806885,16
2025-01-22,12011.035730361938,4111.0352420806885,16
2025-01-23,12059.663293838501,4111.0352420806885,16
2025-01-24,12061.147577285767,4111.0352420806885,16
2025-01-27,11780.47597694397,4111.0352420806885,16
2025-01-28,11907.26854133606,4111.0352420806885,16
2025-01-29,11879.906824111938,4111.0352420806885,16
2025-01-30,11997.864015579224,4111.0352420806885,16
2025-01-31,11831.010637283325,4111.0352420806885,16
2025-02-03,11777.839418411255,3883.1900272369385,16
2025-02-04,11791.179323196411,3883.1900272369385,16
2025-02-05,11888.80645942688,3883.1900272369385,16
2025-02-06,11835.437112808228,3883.1900272369385,16
2025-02-07,11827.517374038696,3883.1900272369385,16
2025-02-10,11854.278192520142,3883.1900272369385,16
2025-02-11,11742.15623664856,3883.1900272369385,16
2025-02-12,11739.174806594849,3883.1900272369385,16
2025-02-13,11711.332918167114,3883.1900272369385,16
2025-02-14,11626.276308059692,3883.1900272369385,16
2025-02-18,11655.31620979309,3883.1900272369385,16
2025-02-19,11621.970949172974,3883.1900272369385,16
2025-02-20,11592.486474990845,3883.1900272369385,16
2025-02-21,11421.68950843811,3883.1900272369385,16
2025-02-24,11360.518045425415,3883.1900272369385,16
2025-02-25,11357.551271438599,3883.1900272369385,16
2025-02-26,11391.6139087677,3883.1900272369385,16
2025-02-27,11251.581354141235,3883.1900272369385,16
2025-02-28,11374.593141555786,3883.1900272369385,16
2025-03-03,11252.638933181763,3414.363443374634,16
2025-03-04,11211.883577346802,3414.363443374634,16
2025-03-05,11284.44666481018,3414.363443374634,16
2025-03-06,11151.911500930786,3414.363443374634,16
2025-03-07,11169.751398086548,3414.363443374634,16
2025-03-10,10945.456827163696,3414.363443374634,16
2025-03-11,10857.740030288696,3414.363443374634,16
2025-03-12,10875.53105354309,3414.363443374634,16
2025-03-13,10706.565294265747,3414.363443374634,16
2025-03-14,10836.56100654602,3414.363443374634,16
2025-03-17,10875.09934425354,3414.363443374634,16
2025-03-18,10733.488481521606,3414.363443374634,16
2025-03-19,10819.084901809692,3414.363443374634,16
2025-03-20,10793.269426345825,3414.363443374634,16
2025-03-21,10797.813875198364,3414.363443374634,16
2025-03-24,10987.823068618774,3414.363443374634,16
2025-03-25,11001.857873916626,3414.363443374634,16
2025-03-26,10871.080408096313,3414.363443374634,16
2025-03-27,10839.578813552856,3414.363443374634,16
2025-03-28,10699.76805305481,3414.363443374634,16
2025-03-31,10722.74859046936,3414.363443374634,16
2025-04-01,10765.942766189575,2837.922357559204,17
2025-04-02,10834.518465042114,2837.922357559204,17
2025-04-03,10509.710855484009,2837.922357559204,17
2025-04-04,10068.625650405884,2837.922357559204,17
2025-04-07,10152.918352127075,2837.922357559204,17
2025-04-08,10049.491170883179,2837.922357559204,17
2025-04-09,10792.682336807251,2837.922357559204,17
2025-04-10,10517.56567955017,2837.922357559204,17
2025-04-11,10645.730676651001,2837.922357559204,17
2025-04-14,10713.406183242798,2837.922357559204,17
2025-04-15,10749.512979507446,2837.922357559204,17
2025-04-16,10558.305150985718,2837.922357559204,17
2025-04-17,10557.104230880737,2837.922357559204,17
2025-04-21,10333.301931381226,2837.922357559204,17
2025-04-22,10508.46383857727,2837.922357559204,17
2025-04-23,10664.20428276062,2837.922357559204,17
2025-04-24,10965.608976364136,2837.922357559204,17
2025-04-25,11086.972734451294,2837.922357559204,17
2025-04-28,11075.270719528198,2837.922357559204,17
2025-04-29,11181.543489456177,2837.922357559204,17
2025-04-30,11194.154188156128,2837.922357559204,17
2025-05-01,11254.71014213562,3693.6211109161377,16
2025-05-02,11422.262495040894,3693.6211109161377,16
2025-05-05,11420.285871505737,3693.6211109161377,16
2025-05-06,11286.167684555054,3693.6211109161377,16
2025-05-07,11230.933561325073,3693.6211109161377,16
2025-05-08,11332.356241226196,3693.6211109161377,16
2025-05-09,11312.62912940979,3693.6211109161377,16
2025-05-12,11541.21605873108,3693.6211109161377,16
2025-05-13,11652.167943954468,3693.6211109161377,16
2025-05-14,11737.655611038208,3693.6211109161377,16
2025-05-15,11742.306131362915,3693.6211109161377,16
2025-05-16,11823.085496902466,3693.6211109161377,16
2025-05-19,11831.154848098755,3693.6211109161377,16
2025-05-20,11783.167295455933,3693.6211109161377,16
2025-05-21,11685.92788887024,3693.6211109161377,16
2025-05-22,11700.158628463745,3693.6211109161377,16
2025-05-23,11645.151178359985,3693.6211109161377,16
2025-05-27,11798.796045303345,3693.6211109161377,16
2025-05-28,11735.272779464722,3693.6211109161377,16
2025-05-29,11716.389154434204,3693.6211109161377,16
2025-05-30,11741.979177474976,3693.6211109161377,16
2025-06-02,11745.117029190063,3001.0978717803955,17
2025-06-03,11808.877126693726,3001.0978717803955,17
2025-06-04,11815.416913986206,3001.0978717803955,17
2025-06-05,11777.517877578735,3001.0978717803955,17
2025-06-06,11905.067785263062,3001.0978717803955,17
2025-06-09,11901.207201004028,3001.0978717803955,17
2025-06-10,11920.80825996399,3001.0978717803955,17
2025-06-11,11900.143476486206,3001.0978717803955,17
2025-06-12,11920.596616744995,3001.0978717803955,17
2025-06-13,11808.177137374878,3001.0978717803955,17
2025-06-16,11903.410558700562,3001.0978717803955,17
2025-06-17,11759.598253250122,3001.0978717803955,17
2025-06-18,11745.056577682495,3001.0978717803955,17
2025-06-20,11650.671003341675,3001.0978717803955,17
2025-06-23,11741.759134292603,3001.0978717803955,17
2025-06-24,11862.58036994934,3001.0978717803955,17
2025-06-25,11889.358785629272,3001.0978717803955,17
2025-06-26,11983.626974105835,3001.0978717803955,17
2025-06-27,11953.881471633911,3001.0978717803955,17
2025-06-30,12048.91314125061,3001.0978717803955,17
2025-07-01,11997.130807876587,3163.029493331909,17
2025-07-02,12072.510236740112,3163.029493331909,17
2025-07-03,12132.002035140991,3163.029493331909,17
2025-07-07,12067.860082626343,3163.029493331909,17
2025-07-08,12111.882490158081,3163.029493331909,17
2025-07-09,12215.51194190979,3163.029493331909,17
2025-07-10,12286.864526748657,3163.029493331909,17
2025-07-11,12251.080591201782,3163.029493331909,17
2025-07-14,12331.894857406616,3163.029493331909,17
2025-07-15,12258.140031814575,3163.029493331909,17
2025-07-16,12331.583963394165,3163.029493331909,17
2025-07-17,12439.76535987854,3163.029493331909,17
2025-07-18,12421.867208480835,3163.029493331909,17
2025-07-21,12398.923299789429,3163.029493331909,17
2025-07-22,12439.148344039917,3163.029493331909,17
2025-07-23,12537.416337966919,3163.029493331909,17
2025-07-24,12551.643720626831,3163.029493331909,17
2025-07-25,12564.018030166626,3163.029493331909,17
2025-07-28,12534.911809921265,3163.029493331909,17
2025-07-29,12606.068635940552,3163.029493331909,17
2025-07-30,12639.214262008667,3163.029493331909,17
2025-07-31,12587.993688583374,3163.029493331909,17
2025-08-01,12463.834367752075,2569.807876586914,18
2025-08-04,12708.191343307495,2569.807876586914,18
2025-08-05,12579.112197875977,2569.807876586914,18
2025-08-06,12727.09913444519,2569.807876586914,18
2025-08-07,12702.260707855225,2569.807876586914,18
2025-08-08,12755.180292129517,2569.807876586914,18
2025-08-11,12720.998472213745,2569.807876586914,18
2025-08-12,12863.861499786377,2569.807876586914,18
2025-08-13,12950.765993118286,2569.807876586914,18
2025-08-14,12922.586353302002,2569.807876586914,18
2025-08-15,12893.573392868042,2569.807876586914,18
2025-08-18,12862.88166809082,2569.807876586914,18
2025-08-19,12746.632099151611,2569.807876586914,18
2025-08-20,12746.693325042725,2569.807876586914,18
2025-08-21,12759.683204650879,2569.807876586914,18
2025-08-22,12905.444732666016,2569.807876586914,18
2025-08-25,12828.451000213623,2569.807876586914,18
2025-08-26,12828.076602935791,2569.807876586914,18
2025-08-27,12831.649034500122,2569.807876586914,18
2025-08-28,12828.01346206665,2569.807876586914,18
2025-08-29,12802.994539260864,2569.807876586914,18
2025-09-02,12721.060939788818,2517.558280944824,18
2025-09-03,12828.14136505127,2517.558280944824,18
2025-09-04,12928.721923828125,2517.558280944824,18
2025-09-05,12908.352802276611,2517.558280944824,18
2025-09-08,12939.301246643066,2517.558280944824,18
2025-09-09,12986.232662200928,2517.558280944824,18
2025-09-10,13004.622179031372,2517.558280944824,18
2025-09-11,13108.797065734863,2517.558280944824,18
2025-09-12,13019.371654510498,2517.558280944824,18
2025-09-15,13144.10994720459,2517.558280944824,18
2025-09-16,13094.889572143555,2517.558280944824,18
2025-09-17,13096.786304473877,2517.558280944824,18
2025-09-18,13291.734642028809,2517.558280944824,18
2025-09-19,13344.1644821167,2517.558280944824,18
2025-09-22,13286.818599700928,2517.558280944824,18
2025-09-23,13198.17096710205,2517.558280944824,18
2025-09-24,13139.64246749878,2517.558280944824,18
2025-09-25,13042.90294265747,2517.558280944824,18
2025-09-26,13117.357288360596,2517.558280944824,18
2025-09-29,13202.171424865723,2517.558280944824,18
2025-09-30,13244.793315887451,2517.558280944824,18
2025-10-01,13273.78893661499,3787.284381866455,17
2025-10-02,13277.33059310913,3787.284381866455,17
2025-10-03,13273.14384841919,3787.284381866455,17
2025-10-06,13355.719783782959,3787.284381866455,17
2025-10-07,13356.526508331299,3787.284381866455,17
2025-10-08,13382.930889129639,3787.284381866455,17
2025-10-09,13338.496936798096,3787.284381866455,17
2025-10-10,13134.550693511963,3787.284381866455,17
2025-10-13,13181.110424041748,3787.284381866455,17
2025-10-14,13200.630725860596,3787.284381866455,17
