date,ticker,action,price,shares,amount,cash_balance,total_value,strategy,confidence
2025-12-04,LYV,SELL,139.61015267944336,9,1256.4913741149903,2433.36403867388,10038.501418869497,lstm,0.5536
2025-12-04,VICI,BUY,28.014,42,1176.588,1256.7760386738798,10038.501418869497,lstm,0.5586
2025-12-04,MOS,BUY,24.11205038166046,49,1181.4904687013625,75.28556997251735,10038.501418869497,lstm,0.5543
2025-12-04,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10038.5,lstm,
2025-12-05,PTC,SELL,173.4332442703247,4,693.7329770812988,769.0185470538162,9987.625711268904,lstm,0.5521
2025-12-05,PAYX,BUY,112.11602755737304,6,672.6961653442382,96.32238170957794,9987.625711268904,lstm,0.5529
2025-12-05,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9987.63,lstm,
2025-12-08,PAYX,SELL,112.39377194976808,6,674.3626316986084,770.6850134081864,9922.90234539366,lstm,0.5487
2025-12-08,PTC,BUY,174.49720866394043,4,697.9888346557617,72.69617875242466,9922.90234539366,lstm,0.5527
2025-12-08,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9922.9,lstm,
2025-12-09,PAYC,SELL,162.61864694976808,9,1463.5678225479128,1536.2640013003374,9887.846037227157,lstm,0.5473
2025-12-09,AJG,BUY,240.0299586639404,6,1440.1797519836423,96.08424931669492,9887.846037227157,lstm,0.5485
2025-12-09,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9887.85,lstm,
2025-12-10,PTC,SELL,175.5721736602783,4,702.2886946411132,798.3729439578082,9987.98422795439,lstm,0.5475
2025-12-10,SO,BUY,84.12204183197022,9,757.098376487732,41.274567470076136,9987.98422795439,lstm,0.5512
2025-12-10,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9987.98,lstm,
2025-12-11,CHTR,SELL,211.9539675598145,3,635.8619026794433,677.1364701495195,10135.269308909896,lstm,0.5443
2025-12-11,IRM,BUY,88.07401377868652,7,616.5180964508056,60.61837369871387,10135.269308909896,lstm,0.5464
2025-12-11,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10135.27,lstm,
2025-12-12,MOS,SELL,26.19689408493042,49,1283.6478101615903,1344.2661838603044,10201.236736125473,lstm,0.5429
2025-12-12,IRM,SELL,82.44475706100464,7,577.1132994270324,1921.3794832873368,10201.236736125473,lstm,0.5448
2025-12-12,DUK,BUY,115.3576530532837,8,922.8612244262696,998.5182588610672,10201.236736125473,lstm,0.5456
2025-12-12,PPL,BUY,34.00699667930603,27,918.1889103412628,80.32934851980451,10201.236736125473,lstm,0.5455
2025-12-12,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10201.24,lstm,
2025-12-15,HD,SELL,356.8114952392578,2,713.6229904785156,793.9523389983201,10227.04566474295,lstm,0.541
2025-12-15,AJG,SELL,256.0619074401856,6,1536.3714446411134,2330.3237836394337,10227.04566474295,lstm,0.5427
2025-12-15,WEC,BUY,105.31263213729858,10,1053.1263213729858,1277.197462266448,10227.04566474295,lstm,0.5461
2025-12-15,IRM,BUY,82.48122244262696,13,1072.2558917541503,204.9415705122974,10227.04566474295,lstm,0.5455
2025-12-15,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10227.05,lstm,
2025-12-16,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10185.27,lstm,
2025-12-17,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10252.56,lstm,
2025-12-18,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10246.91,lstm,
2025-12-19,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10158.72,lstm,
2025-12-22,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10229.74,lstm,
2025-12-26,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10306.07,lstm,
2025-12-29,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10330.64,lstm,
2025-12-31,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10318.42,lstm,
